Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Türkiye,Protest against removal of opposition mayor,24-Oct,Not Free,"Ahmet Özer, the mayor of Istanbul's Esenyurt district and a member of the Republican People's Party (CHP), was arrested over an alleged connection to the Kurdistan Workers' Party (PKK), a banned Kurdish militant group. Istanbul's deputy governor replaced Özer as mayor.",Denounce Özer's removal from office as a political coup. Call for the resignation of President Recep Tayyip Erdoğan’s government.,>100,Opposition,Active,No policy/leadership change,Hundreds,Ankara,X,0,X,X,0,0,0,0,0,"10000,00%"
Mozambique,2024 general elections protest,24-Oct,Partly Free,"The opposition candidate, Venâncio Mondlane, called for a nationwide strike to dispute the provisional election results, which showed that the ruling party, Frelimo, was likely to win. Two days before the planned demonstration, two opposition figures were killed.","Protest the election results, which many believe were rigged by the ruling party. Protesters are angry at the continuation of Frelimo's forty-nine-year rule, which has been marked by corruption and economic decline. They are also angry over the death of the two opposition figures.",">1,000",Opposition,Active,"No policy/leadership change. Police violently cracked down on the protests, firing tear gas and killing at least ten demonstrators.",Thousands,Maputo,X,0,X,X,0,0,X,0,0,"100,00%"
Albania,Anti-Rama protests,24-Oct,Partly Free,"Lawmakers of the conservative Democratic Party of Albania have been protesting the imprisonment of their colleague, Ervin Salianji, on charges of slander.",Call for Prime Minister Edi Rama to step down and for the government to be replaced by a caretaker cabinet before the 2025 parliamentary election. The opposition has repeatedly accused Rama and the Socialist Party of Albania of corruption.,">1,000",Supporters of the Democratic Party,Active,No policy/leadership change.,Thousands,Tirana,X,0,X,X,0,0,0,0,0,"100,00%"
Georgia,2024 election protests,24-Oct,Partly Free,"Results of the parliamentary elections on October 26, which gave the ruling Georgian Dream party more than 54 percent of the vote.","Denounce the election results, which many—both within and outside Georgia—believe were the result of a flawed electoral process.",">10,000","Opposition, general public",Active,No policy/leadership change. Three out of the four main opposition parties refused to accept the election results and announced that they would not take their seats in Parliament. The Central Election Commission reaffirmed the election results on October 31 after conducting a partial recount of the votes.,Tens of thousands,Tbilisi,X,0,X,X,0,0,0,0,0,"1000,00%"
South Korea,Christian protest against LGBTQ+ rights,24-Oct,Free,"In July, the South Korean Supreme Court upheld a ruling from the Seoul High Court that acknowledged the right for same-sex couples to receive spousal benefits from state health insurance.","Criticize the Supreme Court ruling, which protesters believe to be unconstitutional since same-sex marriage is not legal. Protesters are also opposed to the LGBTQ+ community and argue that anti-discriminatory laws will result in reverse discrimination.",">100,000",Christian groups,1 day,No policy/leadership change.,Hundreds of thousands,Seoul,0,0,X,0,0,X,0,0,0,"10000,00%"
Portugal,Police brutality protest,24-Oct,Free,"On October 21, police shot and killed Odair Moniz, a forty-three-year-old Black man. While the police initially claimed that Moniz had been holding a knife, Portuguese media later clarified that Moniz had not been holding a weapon.",Express anger over long-standing issues of police brutality and racism. Demand justice for Moniz.,">1,000",General public,5 days,"Counterprotesters, most of whom were supporters of the Chega party, demonstrated in defense of the police. On October 25, the officer who killed Moniz was indicted on murder charges.",Thousands,Lisbon,0,0,0,0,X,0,0,0,0,"100,00%"
Bangladesh,Protest for the resignation of President Shahabuddin,24-Oct,Partly Free,"On October 21, President Mohammed Shahabuddin revealed that he had not received a resignation letter from former prime minister Sheikh Hasina before she fled the country.","Express anger over Shahabuddin's statement, which contradicts his words in the past and threatens the legitimacy of the interim government. Accuse Shahabuddin of collaborating with Hasina's regime and demand that he resign from his position.",>100,Anti-Discrimination Student Movement (student protesters),1 day,No policy/leadership change.,Hundreds,Dhaka,0,0,X,0,0,0,0,0,0,"10000,00%"
Colombia,Coal miners' strike,24-Oct,Free,"In January 2024, the government enacted a decree that allowed the Ministry of Environment to designate certain areas as natural resource reserve zones.","Oppose the decree, which demonstrators argue is an arbitrary measure that was taken without consultation from miners. Assert that the decree will harm the mining sector.",">10,000",Coal miners,5 days,"Demonstrators reached an agreement with the Ministry of Environment, which included commitments to advance the formalization of the mining sector and promote sustainable mining practices.",Tens of thousands,Bogotá,0,X,0,0,X,0,0,0,0,"1000,00%"
Spain,Anti-Sánchez protest,24-Oct,Free,"Plataforma por la España Constitucional, a group of around one hundred right-wing and far-right organizations, called for a demonstration in Madrid against Prime Minister Pedro Sánchez.","Demand that Sánchez resign and that the government hold early elections. Protesters are angry at the government for ""betraying"" citizens and failing to solve issues such as inflation and high rent costs.",">10,000","Opposition, right-wing and far-right organizations",1 day,No policy/leadership change.,Tens of thousands,Madrid,0,X,X,0,0,0,0,0,0,"1000,00%"
Iraq,Protest over arrested activists,24-Oct,Not Free,Recent widespread arrests of activists involved in the 2019 Iraqi protests.,"Call for the release of arrested activists and for the newly appointed police chief, Major General Najah Al-Abadi, to step down.",>100,Activists,2 days,No policy/leadership change.,Hundreds,Baghdad,0,0,X,0,0,0,0,0,0,"10000,00%"
Bolivia,Protest against Morales' potential arrest,24-Oct,Partly Free,"A Bolivian prosecutor announced that she would issue an arrest warrant against former president Evo Morales, who is under investigation for alleged statutory rape and human trafficking.",Protest the potential arrest of Morales. Protesters have stated that they would maintain blockades on major roads if Morales is arrested.,>100,Supporters of Morales,Active,"No policy/leadership change. President Luis Arce called for the end of the highway blockades, which he claimed have cost the country over $1 billion USD.",Hundreds,La Paz,X,0,X,0,0,0,0,0,0,"10000,00%"
Pakistan,Protest against ban on Pashtun Tahafuz Movement,24-Oct,Partly Free,"On October 6, the Pakistani government banned the Pashtun Tahafuz Movement (PTM), a social rights group for the Pashtun ethnic minority, on the grounds that the PTM's activities threatened the security of the country. The ban was imposed just days ahead of the Pashtun National Jirga (a traditional Pashtun assembly), which was scheduled for October 11.",Protest the government ban of the PTM.,>100,PTM supporters,1 day,"No policy/leadership change. At least three people were killed during the clashes between protesters and the police. Despite the ban, the PTM was able to hold the jirga from October 11–13.",Hundreds,Islamabad,0,0,X,0,0,0,X,0,0,"10000,00%"
Hungary,Media freedom protest,24-Oct,Partly Free,"The leader of the opposition Tisza Party, Péter Magyar, called for a protest at the headquarters of Hungary's state media corporation, Médiaszolgáltatás-támogató és Vagyonkezelő Alap (MTVA).","Demand the end of state propaganda and the restoration of free, unbiased public media. Call for MTVA to be dismantled and for the MTVA CEO, Dániel Papp, to be fired.",">1,000","Opposition, general public",1 day,No policy/leadership change.,Thousands,Budapest,0,0,X,X,0,0,0,0,0,"100,00%"
Austria,Protest against Freedom Party,24-Oct,Free,Austria's far-right Freedom Party (FPÖ) won the general elections with 29 percent of the vote.,"Urge other political parties not to form a coalition government with the FPÖ, which protesters believe is a danger to Austria's democracy.",">10,000","Opposition, general public",1 day,"No political party agreed to form a coalition government with the FPÖ. As such, President Alexander Van der Bellen asked incumbent Chancellor Karl Nehammer and his party, the conservative Austrian People's Party, to form a government.",Tens of thousands,Vienna,0,0,X,0,X,0,0,0,0,"1000,00%"
Portugal,Housing crisis protest,24-Sept,Free,"Growing housing and rent prices caused by factors such as a shortage of affordable housing, the influx of wealthy foreigners seeking tax breaks, and a tourism boom.","Concern over unaffordable housing prices. While Prime Minister Luís Montenegro's government has announced a €2 billion package to build 33,000 homes by 2030, demonstrators are doubtful that the government will be able to deliver on its promises.",">1,000",General public,1 day,No policy/leadership change.,Thousands,Lisbon,0,X,0,0,0,0,0,0,0,"100,00%"
